报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
在建工程(万元),52041,51062,41567,85799,72989,73353,49572,21313,25490,22733,22332,32619,41668,
工程物资(万元),--,--,--,--,--,--,--,--,--,0,8,118,144,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
无形资产(万元),40978,49526,51560,48874,41037,36983,24060,27755,17228,17268,19532,19787,20092,
开发支出(万元),115499,55114,42418,35138,27013,20816,12773,9163,13320,12531,16206,14559,13679,
商誉(万元),17627,13806,13806,13285,13900,15437,3960,4490,1450,1450,1450,1450,1450,
长期待摊费用(万元),18380,17915,18863,20800,18234,12629,3571,2491,2801,1529,867,237,4891,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
递延所得税资产(万元),12241,10369,9146,9499,8960,7678,5387,2824,2212,1310,1103,1514,2025,
其他非流动资产(万元),2518,--,--,2149,2216,942,--,--,--,0,--,--,0,
非流动资产合计(万元),735314,648269,595059,551555,513294,436268,302683,265019,228069,218397,193698,183870,176152,
资产总计(万元),2517184,2153183,1712627,1541269,1292135,1021221,748591,663417,545270,402533,344812,309433,328593,
短期借款(万元),380463,694886,238826,297066,343219,179946,32763,94773,80226,80195,62056,28479,27297,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
拆入资金(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
交易性金融负债(万元),4616,--,--,--,--,--,--,--,--,0,0,--,0,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
应付票据(万元),83035,76089,103660,101257,132289,60318,63146,45159,55171,48369,31698,17170,16495,
应付账款(万元),214001,206675,185689,144702,132247,88749,65608,45098,19335,15651,17816,17847,18330,
预收账款(万元),7654,3963,2626,1906,3894,8752,8909,9496,6350,1126,1738,2184,2122,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
应付职工薪酬(万元),14489,18097,12271,10338,15636,15668,10913,9152,6315,4083,2759,2214,3080,
应交税费(万元),22827,36442,31639,20990,13530,12269,8606,1318,3650,3175,175,4703,4675,
应付利息(万元),6364,2691,5570,4379,3972,4481,2860,528,126,75,95,317,60,
应付股利(万元),102,1580,--,--,--,--,--,16,--,0,--,--,0,
其他应交款(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
应付保证金(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
内部应付款(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
其他应付款(万元),59151,53176,25857,26634,26166,92737,7674,5956,6642,8249,7292,7447,3147,
预提费用(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
递延收益(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
一年内到期的非流动负债(万元),58855,40390,39984,1466,5730,6097,--,22500,200,200,--,10200,4200,
其他流动负债(万元),--,--,169741,49875,--,29953,69808,39857,--,0,--,--,49794,
流动负债合计(万元),851559,1133989,815864,658612,676684,498970,270287,273853,178015,161121,123628,90561,129200,
长期借款(万元),177184,89150,--,--,1468,7198,10286,6301,22500,22500,10000,19500,22700,
应付债券(万元),338402,--,39950,79845,79755,79665,39785,--,--,0,--,--,0,
长期应付款(万元),754,118,142,165,189,213,--,--,--,0,400,1000,1400,
专项应付款(万元),--,--,2019,1869,1869,1679,2169,790,--,40,40,40,0,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
长期递延收益(万元),28460,32476,31554,29000,25324,--,--,--,--,0,--,--,--,
递延所得税负债(万元),--,--,--,--,--,2,--,--,--,0,--,--,0,
其他非流动负债(万元),--,--,--,--,--,19144,5411,4871,2261,1762,1454,860,677,
非流动负债合计(万元),544799,121745,76094,111964,108605,107901,57650,11962,24761,24302,11894,21400,24777,
负债合计(万元),1396358,1255734,891958,770576,785289,606871,327937,285815,202776,185423,135522,111961,153977,
实收资本(或股本)(万元),151267,108048,108048,108048,103284,103284,51642,51642,51642,48800,48800,48800,28500,
资本公积(万元),192980,147640,154429,177145,24441,23021,155120,155120,155441,56443,56443,64322,57206,
减:库存股(万元),8722,--,--,--,--,--,--,--,--,0,--,--,0,
专项储备(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,
盈余公积(万元),107133,93911,82473,73283,63638,52290,39713,32419,26549,22136,18828,15563,13415,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
未分配利润(万元),615509,517433,451723,388650,292580,204775,154841,121364,97139,76042,67199,53208,46131,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,0,--,--,0,
外币报表折算差额(万元),--,--,--,--,--,-154,-151,-150,-112,-84,-83,-65,-28,
归属于母公司股东权益合计(万元),1053370,865453,796384,746948,483788,383216,401165,360395,330659,203337,191187,181829,145224,
少数股东权益(万元),67456,31996,24285,23745,23058,31134,19489,17207,11835,13773,18104,15644,29392,
所有者权益(或股东权益)合计(万元),1120826,897449,820669,770693,506846,414349,420654,377602,342494,217110,209290,197472,174616,
负债和所有者权益(或股东权益)总计(万元),2517184,2153183,1712627,1541269,1292135,1021221,748591,663417,545270,402533,344812,309433,328593,		
  
